Volatility 3 Framework 2.28.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

4	0	System	0xfa8003c78b00	88	536	N/A	False	2021-03-23 17:15:02.000000 UTC	N/A	Disabled
264	4	smss.exe	0xfa8004f25b00	2	29	N/A	False	2021-03-23 17:15:02.000000 UTC	N/A	Disabled
344	336	csrss.exe	0xfa8005d14b00	9	567	0	False	2021-03-23 17:15:09.000000 UTC	N/A	Disabled
384	336	wininit.exe	0xfa8005cc5060	3	76	0	False	2021-03-23 17:15:17.000000 UTC	N/A	Disabled
396	376	csrss.exe	0xfa8005d0b060	11	304	1	False	2021-03-23 17:15:17.000000 UTC	N/A	Disabled
444	376	winlogon.exe	0xfa800610b060	3	110	1	False	2021-03-23 17:15:18.000000 UTC	N/A	Disabled
488	384	services.exe	0xfa8006169b00	7	219	0	False	2021-03-23 17:15:18.000000 UTC	N/A	Disabled
496	384	lsass.exe	0xfa80061568e0	7	586	0	False	2021-03-23 17:15:18.000000 UTC	N/A	Disabled
504	384	lsm.exe	0xfa80060f9b00	9	147	0	False	2021-03-23 17:15:18.000000 UTC	N/A	Disabled
608	488	svchost.exe	0xfa8006219390	10	359	0	False	2021-03-23 17:15:19.000000 UTC	N/A	Disabled
688	488	svchost.exe	0xfa800624e4c0	8	370	0	False	2021-03-23 17:15:19.000000 UTC	N/A	Disabled
776	488	svchost.exe	0xfa8006283b00	18	545	0	False	2021-03-23 17:15:19.000000 UTC	N/A	Disabled
852	488	svchost.exe	0xfa800628eb00	19	494	0	False	2021-03-23 17:15:20.000000 UTC	N/A	Disabled
880	488	svchost.exe	0xfa80062d02f0	17	642	0	False	2021-03-23 17:15:20.000000 UTC	N/A	Disabled
912	488	svchost.exe	0xfa80062ebb00	34	1112	0	False	2021-03-23 17:15:20.000000 UTC	N/A	Disabled
968	488	svchost.exe	0xfa80062f25f0	5	138	0	False	2021-03-23 17:15:20.000000 UTC	N/A	Disabled
672	488	svchost.exe	0xfa800638d860	15	463	0	False	2021-03-23 17:15:22.000000 UTC	N/A	Disabled
1116	488	spoolsv.exe	0xfa800642d250	13	278	0	False	2021-03-23 17:15:22.000000 UTC	N/A	Disabled
1148	488	svchost.exe	0xfa8006412550	17	312	0	False	2021-03-23 17:15:22.000000 UTC	N/A	Disabled
1260	852	dwm.exe	0xfa8004f91b00	3	74	1	False	2021-03-23 17:15:30.000000 UTC	N/A	Disabled
1272	1248	explorer.exe	0xfa80064d54f0	27	939	1	False	2021-03-23 17:15:30.000000 UTC	N/A	Disabled
1308	488	taskhost.exe	0xfa80064fe060	9	214	1	False	2021-03-23 17:15:30.000000 UTC	N/A	Disabled
1504	1272	vm3dservice.ex	0xfa80065d28f0	2	40	1	False	2021-03-23 17:15:32.000000 UTC	N/A	Disabled
1512	1272	vmtoolsd.exe	0xfa80065a9b00	8	272	1	False	2021-03-23 17:15:32.000000 UTC	N/A	Disabled
1524	1272	StikyNot.exe	0xfa80065d7b00	8	143	1	False	2021-03-23 17:15:32.000000 UTC	N/A	Disabled
1684	488	svchost.exe	0xfa80066601d0	11	336	0	False	2021-03-23 17:15:43.000000 UTC	N/A	Disabled
1732	488	svchost.exe	0xfa80065f7b00	12	226	0	False	2021-03-23 17:15:43.000000 UTC	N/A	Disabled
1832	488	hMailServer.ex	0xfa80066b2060	70	329	0	True	2021-03-23 17:15:45.000000 UTC	N/A	Disabled
2016	488	cygrunsrv.exe	0xfa800678c060	6	99	0	False	2021-03-23 17:15:46.000000 UTC	N/A	Disabled
1168	2016	cygrunsrv.exe	0xfa800678fb00	0	-	0	False	2021-03-23 17:15:47.000000 UTC	2021-03-23 17:15:47.000000 UTC	Disabled
316	344	conhost.exe	0xfa80067a1060	2	33	0	False	2021-03-23 17:15:47.000000 UTC	N/A	Disabled
948	1168	sshd.exe	0xfa80067b8800	4	98	0	False	2021-03-23 17:15:47.000000 UTC	N/A	Disabled
1436	488	VGAuthService.	0xfa80067fb2b0	3	85	0	False	2021-03-23 17:15:48.000000 UTC	N/A	Disabled
1360	488	vmtoolsd.exe	0xfa8006869210	11	291	0	False	2021-03-23 17:15:49.000000 UTC	N/A	Disabled
2180	488	wlms.exe	0xfa80068aaa00	4	45	0	False	2021-03-23 17:15:49.000000 UTC	N/A	Disabled
2532	488	sppsvc.exe	0xfa800620d4e0	4	169	0	False	2021-03-23 17:15:53.000000 UTC	N/A	Disabled
2588	488	SearchIndexer.	0xfa80065a51d0	13	662	0	False	2021-03-23 17:15:56.000000 UTC	N/A	Disabled
2744	488	svchost.exe	0xfa8006a06b00	5	96	0	False	2021-03-23 17:16:03.000000 UTC	N/A	Disabled
2844	488	dllhost.exe	0xfa8006a6e6d0	13	186	0	False	2021-03-23 17:16:03.000000 UTC	N/A	Disabled
2200	488	msdtc.exe	0xfa8006a85b00	12	145	0	False	2021-03-23 17:16:11.000000 UTC	N/A	Disabled
3612	488	svchost.exe	0xfa8004e086d0	13	401	0	False	2021-03-23 17:17:46.000000 UTC	N/A	Disabled
1256	912	wuauclt.exe	0xfa8004d4d060	3	94	1	False	2021-03-23 17:25:17.000000 UTC	N/A	Disabled
1816	1272	msedge.exe	0xfa80043b7b00	0	-	1	False	2021-03-23 17:49:22.000000 UTC	2021-03-23 17:50:33.000000 UTC	Disabled
3856	1272	key.exe	0xfa800429f060	2	36	1	False	2021-03-23 19:08:10.000000 UTC	N/A	Disabled
3184	3856	key.exe	0xfa8004d6bb00	3	71	1	False	2021-03-23 19:08:10.000000 UTC	N/A	Disabled
2464	608	WmiPrvSE.exe	0xfa8005d39360	6	124	0	False	2021-03-23 19:22:13.000000 UTC	N/A	Disabled
1600	1272	cmd.exe	0xfa8005d36360	1	22	1	False	2021-03-23 19:22:55.000000 UTC	N/A	Disabled
1388	396	conhost.exe	0xfa800686b060	2	52	1	False	2021-03-23 19:22:55.000000 UTC	N/A	Disabled
3912	852	WUDFHost.exe	0xfa8006c3ab00	8	194	0	False	2021-03-23 19:24:05.000000 UTC	N/A	Disabled
2324	1272	MagnetRamCaptu	0xfa800501e900	6	294	1	True	2021-03-23 19:24:25.000000 UTC	N/A	Disabled
3820	912	WMIADAP.exe	0xfa800429eb00	5	88	0	False	2021-03-23 19:24:32.000000 UTC	N/A	Disabled
2696	608	WmiPrvSE.exe	0xfa80051beb00	10	175	0	False	2021-03-23 19:24:38.000000 UTC	N/A	Disabled
