Volatility 3 Framework 2.28.0

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created

0x13d239ec0	UDPv4	0.0.0.0	0	*	0		2744	svchost.exe	2021-03-23 17:16:04.000000 UTC
0x13d239ec0	UDPv6	::	0	*	0		2744	svchost.exe	2021-03-23 17:16:04.000000 UTC
0x13d2add70	UDPv4	0.0.0.0	0	*	0		2744	svchost.exe	2021-03-23 17:16:04.000000 UTC
0x13d495a30	TCPv4	0.0.0.0	25	0.0.0.0	0	LISTENING	1832	hMailServer.ex	-
0x13d4a0ba0	TCPv4	0.0.0.0	110	0.0.0.0	0	LISTENING	1832	hMailServer.ex	-
0x13d4a4ee0	TCPv4	0.0.0.0	143	0.0.0.0	0	LISTENING	1832	hMailServer.ex	-
0x13d4a7c80	TCPv4	0.0.0.0	587	0.0.0.0	0	LISTENING	1832	hMailServer.ex	-
0x13d4e7a40	TCPv4	192.168.65.135	139	0.0.0.0	0	LISTENING	4	System	-
0x13d4e8250	TCPv4	0.0.0.0	49156	0.0.0.0	0	LISTENING	488	services.exe	-
0x13d4e8250	TCPv6	::	49156	::	0	LISTENING	488	services.exe	-
0x13d4e8b90	TCPv4	0.0.0.0	49156	0.0.0.0	0	LISTENING	488	services.exe	-
0x13d4f3940	TCPv4	0.0.0.0	445	0.0.0.0	0	LISTENING	4	System	-
0x13d4f3940	TCPv6	::	445	::	0	LISTENING	4	System	-
0x13d5efc40	UDPv4	0.0.0.0	5355	*	0		672	svchost.exe	2021-03-23 19:24:11.000000 UTC
0x13d71a9b0	UDPv4	0.0.0.0	3702	*	0		1732	svchost.exe	2021-03-23 19:09:19.000000 UTC
0x13d71a9b0	UDPv6	::	3702	*	0		1732	svchost.exe	2021-03-23 19:09:19.000000 UTC
0x13d71b6c0	UDPv4	0.0.0.0	3702	*	0		1732	svchost.exe	2021-03-23 19:09:19.000000 UTC
0x13d742bb0	UDPv4	0.0.0.0	3702	*	0		1732	svchost.exe	2021-03-23 19:09:19.000000 UTC
0x13d742bb0	UDPv6	::	3702	*	0		1732	svchost.exe	2021-03-23 19:09:19.000000 UTC
0x13d7451e0	UDPv4	0.0.0.0	59989	*	0		1732	svchost.exe	2021-03-23 17:15:45.000000 UTC
0x13d7451e0	UDPv6	::	59989	*	0		1732	svchost.exe	2021-03-23 17:15:45.000000 UTC
0x13d745d00	UDPv4	0.0.0.0	59988	*	0		1732	svchost.exe	2021-03-23 17:15:45.000000 UTC
0x13d7c5b30	TCPv4	0.0.0.0	22	0.0.0.0	0	LISTENING	948	sshd.exe	-
0x13d7c5b30	TCPv6	::	22	::	0	LISTENING	948	sshd.exe	-
0x13d7c69c0	TCPv4	0.0.0.0	22	0.0.0.0	0	LISTENING	948	sshd.exe	-
0x13d806270	TCPv4	0.0.0.0	49154	0.0.0.0	0	LISTENING	912	svchost.exe	-
0x13d809ee0	TCPv4	0.0.0.0	49154	0.0.0.0	0	LISTENING	912	svchost.exe	-
0x13d809ee0	TCPv6	::	49154	::	0	LISTENING	912	svchost.exe	-
0x13d84f2b0	UDPv4	0.0.0.0	0	*	0		672	svchost.exe	2021-03-23 19:09:11.000000 UTC
0x13d84f2b0	UDPv6	::	0	*	0		672	svchost.exe	2021-03-23 19:09:11.000000 UTC
0x13d852580	UDPv4	0.0.0.0	3702	*	0		1732	svchost.exe	2021-03-23 19:09:19.000000 UTC
0x13d852850	TCPv4	0.0.0.0	5357	0.0.0.0	0	LISTENING	4	System	-
0x13d852850	TCPv6	::	5357	::	0	LISTENING	4	System	-
0x13d8bf7d0	TCPv4	0.0.0.0	49155	0.0.0.0	0	LISTENING	496	lsass.exe	-
0x13d8bf7d0	TCPv6	::	49155	::	0	LISTENING	496	lsass.exe	-
0x13d8bfa50	TCPv4	0.0.0.0	49155	0.0.0.0	0	LISTENING	496	lsass.exe	-
0x13da61ac0	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	688	svchost.exe	-
0x13da62550	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	688	svchost.exe	-
0x13da62550	TCPv6	::	135	::	0	LISTENING	688	svchost.exe	-
0x13da6b090	TCPv4	0.0.0.0	49152	0.0.0.0	0	LISTENING	384	wininit.exe	-
0x13da6b090	TCPv6	::	49152	::	0	LISTENING	384	wininit.exe	-
0x13da6da00	TCPv4	0.0.0.0	49152	0.0.0.0	0	LISTENING	384	wininit.exe	-
0x13e099530	TCPv4	-	0	200.228.36.6	0	CLOSED	-	-	N/A
0x13ecb5ec0	UDPv4	127.0.0.1	57848	*	0		1732	svchost.exe	2021-03-23 19:09:11.000000 UTC
0x13ed728e0	UDPv4	192.168.65.135	138	*	0		4	System	2021-03-23 19:09:11.000000 UTC
0x13ee943c0	UDPv4	0.0.0.0	5355	*	0		672	svchost.exe	2021-03-23 19:24:11.000000 UTC
0x13ee943c0	UDPv6	::	5355	*	0		672	svchost.exe	2021-03-23 19:24:11.000000 UTC
0x13efdf170	UDPv4	127.0.0.1	1900	*	0		1732	svchost.exe	2021-03-23 19:09:11.000000 UTC
0x13f1c7ec0	UDPv6	::1	57847	*	0		1732	svchost.exe	2021-03-23 19:09:11.000000 UTC
0x13f3734d0	TCPv4	0.0.0.0	49153	0.0.0.0	0	LISTENING	776	svchost.exe	-
0x13f3737c0	TCPv4	0.0.0.0	49153	0.0.0.0	0	LISTENING	776	svchost.exe	-
0x13f3737c0	TCPv6	::	49153	::	0	LISTENING	776	svchost.exe	-
0x13f62f430	UDPv4	192.168.65.135	137	*	0		4	System	2021-03-23 19:09:11.000000 UTC
0x13f868300	UDPv6	fe80::8f7:44ab:fd74:1c5e	1900	*	0		1732	svchost.exe	2021-03-23 19:09:11.000000 UTC
0x13f86c760	UDPv4	192.168.65.135	1900	*	0		1732	svchost.exe	2021-03-23 19:09:11.000000 UTC
0x13fafa790	UDPv6	::1	1900	*	0		1732	svchost.exe	2021-03-23 19:09:11.000000 UTC
