Volatility 3 Framework 2.28.0

PID	Process	Args

4	System	-
264	smss.exe	\SystemRoot\System32\smss.exe
344	csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
384	wininit.exe	wininit.exe
396	csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
444	winlogon.exe	winlogon.exe
488	services.exe	C:\Windows\system32\services.exe
496	lsass.exe	C:\Windows\system32\lsass.exe
504	lsm.exe	C:\Windows\system32\lsm.exe
608	svchost.exe	C:\Windows\system32\svchost.exe -k DcomLaunch
688	svchost.exe	C:\Windows\system32\svchost.exe -k RPCSS
776	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted
852	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted
880	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService
912	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs
968	svchost.exe	C:\Windows\system32\svchost.exe -k GPSvcGroup
672	svchost.exe	C:\Windows\system32\svchost.exe -k NetworkService
1116	spoolsv.exe	C:\Windows\System32\spoolsv.exe
1148	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork
1260	dwm.exe	"C:\Windows\system32\Dwm.exe"
1272	explorer.exe	C:\Windows\Explorer.EXE
1308	taskhost.exe	"taskhost.exe"
1504	vm3dservice.ex	"C:\Windows\System32\vm3dservice.exe" -u
1512	vmtoolsd.exe	"C:\Program Files\VMware\VMware Tools\vmtoolsd.exe" -n vmusr
1524	StikyNot.exe	"C:\Windows\System32\StikyNot.exe" 
1684	svchost.exe	C:\Windows\System32\svchost.exe -k utcsvc
1732	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation
1832	hMailServer.ex	"C:\Program Files (x86)\hMailServer\Bin\hMailServer.exe" RunAsService
2016	cygrunsrv.exe	"C:\Program Files\OpenSSH\bin\cygrunsrv.exe"
1168	cygrunsrv.exe	-
316	conhost.exe	\??\C:\Windows\system32\conhost.exe "-24237932858819209297985174-6750179971459738103-333767598-497519178-1070520885
948	sshd.exe	"C:\Program Files\OpenSSH\usr\sbin\sshd.exe"
1436	VGAuthService.	"C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe"
1360	vmtoolsd.exe	"C:\Program Files\VMware\VMware Tools\vmtoolsd.exe"
2180	wlms.exe	C:\Windows\system32\wlms\wlms.exe
2532	sppsvc.exe	C:\Windows\system32\sppsvc.exe
2588	SearchIndexer.	C:\Windows\system32\SearchIndexer.exe /Embedding
2744	svchost.exe	C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted
2844	dllhost.exe	C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}
2200	msdtc.exe	C:\Windows\System32\msdtc.exe
3612	svchost.exe	C:\Windows\System32\svchost.exe -k secsvcs
1256	wuauclt.exe	"C:\Windows\system32\wuauclt.exe"
1816	msedge.exe	-
3856	key.exe	"C:\Users\IEUser\Desktop\key.exe" 
3184	key.exe	"C:\Users\IEUser\Desktop\key.exe" 
2464	WmiPrvSE.exe	C:\Windows\system32\wbem\wmiprvse.exe
1600	cmd.exe	"C:\Windows\system32\cmd.exe" 
1388	conhost.exe	\??\C:\Windows\system32\conhost.exe "1260329674-332028773-618323156-660705624327406295-134915006316394456691942838292
3912	WUDFHost.exe	"C:\Windows\System32\WUDFHost.exe" -HostGUID:{193a1820-d9ac-4997-8c55-be817523f6aa} -IoEventPortName:HostProcess-f43c1b13-0614-4b6f-bd04-0130009d627e -SystemEventPortName:HostProcess-c969c713-dc70-48ab-821f-ef98ca2a1d1a -IoCancelEventPortName:HostProcess-21580d32-0b55-4429-aec3-f7637d7ea008 -NonStateChangingEventPortName:HostProcess-6ac89890-6e9f-4c80-997c-26113eb284ce -ServiceSID:S-1-5-80-2652678385-582572993-1835434367-1344795993-749280709 -LifetimeId:c7ec2b9d-083b-4838-bd72-be1ca4cf5b00 -DeviceGroupId:WpdFsGroup
2324	MagnetRamCaptu	"C:\Users\IEUser\Desktop\MagnetRamCapture.exe" 
3820	WMIADAP.exe	wmiadap.exe /R /T
2696	WmiPrvSE.exe	C:\Windows\system32\wbem\wmiprvse.exe
