Volatility 3 Framework 2.28.0

PID	Process	Base	Size	Name	Path	LoadCount	LoadTime	File output

3856	key.exe	0x13f3b0000	0x51000	key.exe	C:\Users\IEUser\Desktop\key.exe	-1	N/A	Disabled
3856	key.exe	0x76f50000	0x19f000	ntdll.dll	C:\Windows\SYSTEM32\ntdll.dll	-1	N/A	Disabled
3856	key.exe	0x76e30000	0x11f000	kernel32.dll	C:\Windows\system32\kernel32.dll	-1	2021-03-23 19:08:10.000000 UTC	Disabled
3856	key.exe	0x7fefcdd0000	0x6a000	KERNELBASE.dll	C:\Windows\system32\KERNELBASE.dll	-1	2021-03-23 19:08:10.000000 UTC	Disabled
3856	key.exe	0x76d30000	0xfa000	USER32.dll	C:\Windows\system32\USER32.dll	-1	2021-03-23 19:08:10.000000 UTC	Disabled
3856	key.exe	0x7fefcfe0000	0x67000	GDI32.dll	C:\Windows\system32\GDI32.dll	-1	2021-03-23 19:08:10.000000 UTC	Disabled
3856	key.exe	0x7fefd6d0000	0xe000	LPK.dll	C:\Windows\system32\LPK.dll	-1	2021-03-23 19:08:10.000000 UTC	Disabled
3856	key.exe	0x7fefd050000	0xcb000	USP10.dll	C:\Windows\system32\USP10.dll	-1	2021-03-23 19:08:10.000000 UTC	Disabled
3856	key.exe	0x7fefd9f0000	0x9f000	msvcrt.dll	C:\Windows\system32\msvcrt.dll	-1	2021-03-23 19:08:10.000000 UTC	Disabled
3856	key.exe	0x7fefe850000	0xdb000	ADVAPI32.dll	C:\Windows\system32\ADVAPI32.dll	-1	2021-03-23 19:08:10.000000 UTC	Disabled
3856	key.exe	0x7fefec80000	0x1f000	sechost.dll	C:\Windows\SYSTEM32\sechost.dll	-1	2021-03-23 19:08:10.000000 UTC	Disabled
3856	key.exe	0x7fefd8c0000	0x12c000	RPCRT4.dll	C:\Windows\system32\RPCRT4.dll	-1	2021-03-23 19:08:10.000000 UTC	Disabled
3856	key.exe	0x7fefd450000	0x4d000	WS2_32.dll	C:\Windows\system32\WS2_32.dll	-1	2021-03-23 19:08:10.000000 UTC	Disabled
3856	key.exe	0x7fefd3a0000	0x8000	NSI.dll	C:\Windows\system32\NSI.dll	-1	2021-03-23 19:08:10.000000 UTC	Disabled
3856	key.exe	0x7fefda90000	0x2e000	IMM32.DLL	C:\Windows\system32\IMM32.DLL	2	2021-03-23 19:08:10.000000 UTC	Disabled
3856	key.exe	0x7fefd5c0000	0x109000	MSCTF.dll	C:\Windows\system32\MSCTF.dll	1	2021-03-23 19:08:10.000000 UTC	Disabled
3856	key.exe	0x7fef8b10000	0x3000	api-ms-win-core-synch-l1-2-0.DLL	C:\Windows\system32\api-ms-win-core-synch-l1-2-0.DLL	2	2021-03-23 19:08:10.000000 UTC	Disabled
3856	key.exe	0x7fefca20000	0x57000	apphelp.dll	C:\Windows\system32\apphelp.dll	-1	2021-03-23 19:08:10.000000 UTC	Disabled
