Foremost version 1.5.7 by Jesse Kornblum, Kris Kendall, and Nick Mikus
Audit File

Foremost started at Fri Jul  3 23:59:20 2026
Invocation: foremost -t jpg,png,gif,pdf,zip -q -o /cases/cases/8c944918-7791-4e09-9e58-7d414c5be9be/artifacts/f907b737-1c98-4055-96c4-5d13008909ba/out/foremost -i /cases/cases/8c944918-7791-4e09-9e58-7d414c5be9be/evidence/0948aadd-a962-47c3-9f93-2c373f2fe502/original.raw 
Output directory: /cases/cases/8c944918-7791-4e09-9e58-7d414c5be9be/artifacts/f907b737-1c98-4055-96c4-5d13008909ba/out/foremost
Configuration file: /etc/foremost.conf
------------------------------------------------------------------
File: /cases/cases/8c944918-7791-4e09-9e58-7d414c5be9be/evidence/0948aadd-a962-47c3-9f93-2c373f2fe502/original.raw
Start: Fri Jul  3 23:59:20 2026
Length: 1 GB (1189085184 bytes)
 
Num	 Name (bs=512)	       Size	 File Offset	 Comment 

0:	00653304.png 	      306 B 	  334491648 	  (20 x 22)
1:	00653320.png 	      293 B 	  334499840 	  (20 x 22)
2:	00653336.png 	      314 B 	  334508032 	  (20 x 22)
3:	00653360.png 	       9 KB 	  334520320 	  (260 x 30)
4:	00653928.png 	      10 KB 	  334811136 	  (261 x 30)
5:	00653960.png 	      308 B 	  334827520 	  (20 x 22)
6:	00653976.png 	      298 B 	  334835712 	  (20 x 22)
7:	00653992.png 	      289 B 	  334843904 	  (20 x 22)
8:	00654008.png 	      310 B 	  334852096 	  (20 x 22)
9:	00654024.png 	      319 B 	  334860288 	  (20 x 22)
10:	00654040.png 	      215 B 	  334868480 	  (20 x 22)
11:	00654056.png 	      375 B 	  334876672 	  (20 x 22)
12:	00654072.png 	      325 B 	  334884864 	  (20 x 22)
13:	00654088.png 	      336 B 	  334893056 	  (20 x 22)
14:	00654104.png 	      320 B 	  334901248 	  (20 x 22)
15:	00654120.png 	      341 B 	  334909440 	  (20 x 22)
16:	00654136.png 	      299 B 	  334917632 	  (20 x 22)
17:	00654152.png 	      330 B 	  334925824 	  (20 x 22)
18:	00654168.png 	      318 B 	  334934016 	  (20 x 22)
19:	00654184.png 	       1 KB 	  334942208 	  (20 x 22)
20:	00654200.png 	      296 B 	  334950400 	  (20 x 22)
21:	00654216.png 	      295 B 	  334958592 	  (20 x 22)
22:	00654232.png 	      215 B 	  334966784 	  (20 x 22)
23:	00654248.png 	      256 B 	  334974976 	  (20 x 22)
24:	00654264.png 	      305 B 	  334983168 	  (20 x 22)
25:	00654280.png 	      296 B 	  334991360 	  (20 x 22)
26:	00654304.png 	      332 B 	  335003648 	  (27 x 22)
27:	00654312.png 	      295 B 	  335007744 	  (20 x 22)
28:	00654328.png 	      313 B 	  335015936 	  (20 x 22)
29:	00654344.png 	      308 B 	  335024128 	  (20 x 22)
30:	00654360.png 	      275 B 	  335032320 	  (20 x 22)
31:	00654376.png 	      283 B 	  335040512 	  (20 x 22)
32:	00654392.png 	      295 B 	  335048704 	  (20 x 22)
33:	00654408.png 	      311 B 	  335056896 	  (20 x 22)
34:	00654424.png 	      304 B 	  335065088 	  (20 x 22)
35:	00654456.png 	       8 KB 	  335081472 	  (480 x 524)
36:	00654488.png 	      325 B 	  335097856 	  (20 x 22)
37:	00654504.png 	      371 B 	  335106048 	  (20 x 22)
38:	00654520.png 	      338 B 	  335114240 	  (20 x 22)
39:	00654536.png 	      332 B 	  335122432 	  (20 x 22)
40:	00654552.png 	      323 B 	  335130624 	  (20 x 22)
41:	00654568.png 	      257 B 	  335138816 	  (20 x 22)
42:	00654584.png 	      314 B 	  335147008 	  (20 x 22)
43:	00654600.png 	      272 B 	  335155200 	  (20 x 22)
44:	00654608.png 	       1 KB 	  335159296 	  (20 x 22)
45:	00654616.png 	       1 KB 	  335163392 	  (20 x 22)
46:	00654624.png 	     1000 B 	  335167488 	  (20 x 22)
47:	00654632.png 	     1000 B 	  335171584 	  (20 x 22)
48:	00654640.png 	       1 KB 	  335175680 	  (20 x 22)
49:	00654648.png 	       1 KB 	  335179776 	  (20 x 22)
50:	00654656.png 	       1 KB 	  335183872 	  (20 x 22)
51:	00654664.png 	       1 KB 	  335187968 	  (20 x 22)
52:	00654672.png 	       1 KB 	  335192064 	  (20 x 22)
53:	00654680.png 	       1 KB 	  335196160 	  (20 x 22)
