# tsk_mactime — resumen del timeline MAC(b) (run da7134af-8c83-4a8f-a3d1-b73e7782b535)
# total: 43.604 eventos | 805 marcas | 1996-07-28 → 2026-07-03

## Primeros/últimos eventos
Date,Size,Type,Mode,UID,GID,Meta,File Name
1996-07-28T22:15:21Z,1520,m...,r/rrw-r--r--,0,0,5327,"/usr/share/doc/mawk/ACKNOWLEDGMENT"
...
2026-07-03T18:16:44Z,1208,...b,r/rrw-r--r--,33,33,14236,"/var/www/html/vulnerabilities/xss_s/source/low.php"
2026-07-03T18:16:44Z,1311,...b,r/rrw-r--r--,33,33,14237,"/var/www/html/vulnerabilities/xss_s/source/medium.php"

## Timeline de la app DVWA (/var/www/html) — primeras 12 entradas
2018-10-12T17:44:28Z,57,m...,r/rrw-r--r--,33,33,13545,"/var/www/html/.gitignore"
2018-10-12T17:44:28Z,500,m...,r/rrw-r--r--,33,33,13546,"/var/www/html/.htaccess"
2018-10-12T17:44:28Z,7296,m...,r/rrw-r--r--,33,33,13547,"/var/www/html/CHANGELOG.md"
2018-10-12T17:44:28Z,33107,m...,r/rrw-r--r--,33,33,13548,"/var/www/html/COPYING.txt"
2018-10-12T17:44:28Z,9180,m...,r/rrw-r--r--,33,33,13549,"/var/www/html/README.md"
2018-10-12T17:44:28Z,3798,m...,r/rrw-r--r--,33,33,13550,"/var/www/html/about.php"
2018-10-12T17:44:28Z,1859,m...,r/rrw-r--r--,33,33,13552,"/var/www/html/config/config.inc.php"
2018-10-12T17:44:28Z,1864,m...,r/rrw-r--r--,33,33,13553,"/var/www/html/config/config.inc.php.dist"
2018-10-12T17:44:28Z,4096,m...,d/drwxr-xr-x,33,33,13554,"/var/www/html/docs"
2018-10-12T17:44:28Z,422011,m...,r/rrw-r--r--,33,33,13555,"/var/www/html/docs/DVWA_v1.3.pdf"
2018-10-12T17:44:28Z,105,m...,r/rrw-r--r--,33,33,13556,"/var/www/html/docs/pdf.html"
2018-10-12T17:44:28Z,4096,m...,d/drwxr-xr-x,33,33,13557,"/var/www/html/dvwa"
