Foremost version 1.5.7 by Jesse Kornblum, Kris Kendall, and Nick Mikus
Audit File

Foremost started at Sat Jul  4 00:28:10 2026
Invocation: foremost -t jpg,png,gif,pdf,doc,zip,htm -q -o /cases/cases/69b31984-1045-4a6d-bb23-0f507fca0c32/artifacts/800452a7-8a40-4e36-9505-db2780586fd5/out/foremost -i /cases/cases/69b31984-1045-4a6d-bb23-0f507fca0c32/evidence/f7c927be-fcf5-44f4-bd72-a239953927de/original.raw 
Output directory: /cases/cases/69b31984-1045-4a6d-bb23-0f507fca0c32/artifacts/800452a7-8a40-4e36-9505-db2780586fd5/out/foremost
Configuration file: /etc/foremost.conf
------------------------------------------------------------------
File: /cases/cases/69b31984-1045-4a6d-bb23-0f507fca0c32/evidence/f7c927be-fcf5-44f4-bd72-a239953927de/original.raw
Start: Sat Jul  4 00:28:10 2026
Length: 8 GB (8589934592 bytes)
 
Num	 Name (bs=512)	       Size	 File Offset	 Comment 

0:	01367749.jpg 	      54 KB 	  700287488 	 
1:	01367861.jpg 	     103 KB 	  700344832 	 
2:	01367661.png 	      38 KB 	  700242432 	  (256 x 256)
3:	01438549.jpg 	      62 KB 	  736537088 	 
4:	01438989.jpg 	     105 KB 	  736762368 	 
5:	01445501.jpg 	      61 KB 	  740096512 	 
6:	01445641.jpg 	       1 KB 	  740168192 	 
7:	01445645.jpg 	       1 KB 	  740170240 	 
8:	01445649.jpg 	       1 KB 	  740172288 	 
9:	01445663.jpg 	       2 KB 	  740179456 	 
10:	01445669.jpg 	       2 KB 	  740182528 	 
11:	01445675.jpg 	       2 KB 	  740185600 	 
12:	01445681.jpg 	       3 KB 	  740188672 	 
13:	01445821.jpg 	      42 KB 	  740260352 	 
14:	01445965.jpg 	      69 KB 	  740334080 	 
15:	01446213.jpg 	      20 KB 	  740461056 	 
16:	01446557.jpg 	     161 KB 	  740637184 	 
17:	01447973.jpg 	       5 KB 	  741362176 	 
18:	01447989.jpg 	       4 KB 	  741370368 	 
19:	01448021.jpg 	       5 KB 	  741386752 	 
20:	01448037.jpg 	       5 KB 	  741394944 	 
21:	01448053.jpg 	       5 KB 	  741403136 	 
22:	01448069.jpg 	       5 KB 	  741411328 	 
23:	01448085.jpg 	       7 KB 	  741419520 	 
24:	01448101.jpg 	       7 KB 	  741427712 	 
