date,time,timezone,MACB,source,sourcetype,type,user,host,short,desc,version,filename,inode,notes,format,extra
09/28/2007,10:06:43,UTC,M...,FILE,File stat,Content Modification Time,-,-,/memtest86+.bin,EXT:/memtest86+.bin Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o644 Number of links: 1,2,EXT:/memtest86+.bin,50219,-,filestat,file_size: 103204; file_system_type: EXT; is_allocated: True; sha256_hash: 80ae7790b82f0d3de3790d191210f8f6b2827997c070cbbdf603d8980f7b3ee5
04/10/2008,16:55:41,UTC,M...,FILE,File stat,Content Modification Time,-,-,/abi-2.6.24-16-server,EXT:/abi-2.6.24-16-server Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o644 Number of links: 1,2,EXT:/abi-2.6.24-16-server,50202,-,filestat,file_size: 426444; file_system_type: EXT; is_allocated: True; sha256_hash: a857449a80b16380a4de18d4f364076253068002bc862535f0203807edc574ef
04/10/2008,16:55:41,UTC,M...,FILE,File stat,Content Modification Time,-,-,/vmlinuz-2.6.24-16-server,EXT:/vmlinuz-2.6.24-16-server Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o644 Number of links: 1,2,EXT:/vmlinuz-2.6.24-16-server,50221,-,filestat,file_size: 1987288; file_system_type: EXT; is_allocated: True; sha256_hash: c25afd27ef1464bf15a601185c747fe0a30d6f025a619f0c898cf3a7f70f6639
04/10/2008,16:55:41,UTC,M...,FILE,File stat,Content Modification Time,-,-,/System.map-2.6.24-16-server,EXT:/System.map-2.6.24-16-server Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o644 Number of links: 1,2,EXT:/System.map-2.6.24-16-server,50220,-,filestat,file_size: 933296; file_system_type: EXT; is_allocated: True; sha256_hash: 0f1910ec41884bb4d6a3906867411579e25b5a06625f129d6f3ebaffe8055aa0
04/10/2008,16:55:41,UTC,M...,FILE,File stat,Content Modification Time,-,-,/config-2.6.24-16-server,EXT:/config-2.6.24-16-server Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o644 Number of links: 1,2,EXT:/config-2.6.24-16-server,50203,-,filestat,file_size: 80203; file_system_type: EXT; is_allocated: True; sha256_hash: 23dc07e8849ac019cb702ad07cc6f673628b6d50911d8ccdf3782067ddf43054
03/16/2010,22:55:44,UTC,M...,FILE,File stat,Content Modification Time,-,-,/lost+found,EXT:/lost+found Type: directory Owner identifier: 0 Group identifier: 0 Mode: 0o700 Number of links: 2,2,EXT:/lost+found,56225,-,filestat,file_size: 0; file_system_type: EXT; is_allocated: True
03/16/2010,23:12:46,UTC,M...,FILE,File stat,Content Modification Time,-,-,/grub/minix_stage1_5,EXT:/grub/minix_stage1_5 Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o644 Number of links: 1,2,EXT:/grub/minix_stage1_5,50206,-,filestat,file_size: 7324; file_system_type: EXT; is_allocated: True; sha256_hash: c60a0d852635b0ccf61360c159e19ac96cfa9b4ebc6a0b8caf148d990553ce27
03/16/2010,23:12:46,UTC,M...,FILE,File stat,Content Modification Time,-,-,/grub/reiserfs_stage1_5,EXT:/grub/reiserfs_stage1_5 Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o644 Number of links: 1,2,EXT:/grub/reiserfs_stage1_5,50209,-,filestat,file_size: 9632; file_system_type: EXT; is_allocated: True; sha256_hash: 5b4ecb732bcbc6f3f4a6d132987fb646334dd42a35624d8f149b15282d1f5e44
03/16/2010,23:12:46,UTC,M...,FILE,File stat,Content Modification Time,-,-,/grub/xfs_stage1_5,EXT:/grub/xfs_stage1_5 Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o644 Number of links: 1,2,EXT:/grub/xfs_stage1_5,50207,-,filestat,file_size: 9276; file_system_type: EXT; is_allocated: True; sha256_hash: 7f486ff85b5b5cc2471c1bd2766969e89b34ae4e30893ccd6ae6877c77e0acdc
03/16/2010,23:12:46,UTC,M...,FILE,File stat,Content Modification Time,-,-,/grub/default,EXT:/grub/default Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o644 Number of links: 1,2,EXT:/grub/default,50208,-,filestat,file_size: 197; file_system_type: EXT; is_allocated: True; sha256_hash: 2bf49b179a8505f141121c553f6d8107df67a9c658dd203141da29339d7c612a
03/16/2010,23:12:46,UTC,M...,FILE,File stat,Content Modification Time,-,-,/grub/e2fs_stage1_5,EXT:/grub/e2fs_stage1_5 Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o644 Number of links: 1,2,EXT:/grub/e2fs_stage1_5,50210,-,filestat,file_size: 8056; file_system_type: EXT; is_allocated: True; sha256_hash: 0467c606f4068cdea5d27408d64d66aaea12b70ffcd2e1f9eb09e89b47fefb5e
03/16/2010,23:12:46,UTC,M...,FILE,File stat,Content Modification Time,-,-,/grub/stage1,EXT:/grub/stage1 Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o644 Number of links: 1,2,EXT:/grub/stage1,50215,-,filestat,file_size: 512; file_system_type: EXT; is_allocated: True; sha256_hash: 77c1024a494c2170d0236dabdb795131d8a0f1809792735b3dd7f563ef5d951e
03/16/2010,23:12:46,UTC,M...,FILE,File stat,Content Modification Time,-,-,/grub/fat_stage1_5,EXT:/grub/fat_stage1_5 Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o644 Number of links: 1,2,EXT:/grub/fat_stage1_5,50214,-,filestat,file_size: 7904; file_system_type: EXT; is_allocated: True; sha256_hash: 4a4f11fdfcadf9f50f63ff29ff1ec851dd7b0c5daf6831a48e8a58c6a8da9c9e
03/16/2010,23:12:46,UTC,M...,FILE,File stat,Content Modification Time,-,-,/grub/jfs_stage1_5,EXT:/grub/jfs_stage1_5 Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o644 Number of links: 1,2,EXT:/grub/jfs_stage1_5,50212,-,filestat,file_size: 8608; file_system_type: EXT; is_allocated: True; sha256_hash: 17b66ade05f5c7463834d04d8b26c6a56e0e629d4823b4a81c48f33bbc7f2613
03/16/2010,23:12:47,UTC,M...,FILE,File stat,Content Modification Time,-,-,/grub/stage2,EXT:/grub/stage2 Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o644 Number of links: 1,2,EXT:/grub/stage2,50213,-,filestat,file_size: 108356; file_system_type: EXT; is_allocated: True; sha256_hash: 51268b7716cb075d01dbbbcbc6809cbf6840df973dac9a26d5d5b98e813caca4
03/16/2010,23:12:47,UTC,M...,FILE,File stat,Content Modification Time,-,-,/grub/installed-version,EXT:/grub/installed-version Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o644 Number of links: 1,2,EXT:/grub/installed-version,50216,-,filestat,file_size: 18; file_system_type: EXT; is_allocated: True; sha256_hash: c8fbbc78e401561407b08104e78fa64d45d329868514c448606471263573f3be
04/28/2010,20:54:14,UTC,..C.,FILE,File stat,Metadata Modification Time,-,-,/grub/minix_stage1_5,EXT:/grub/minix_stage1_5 Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o644 Number of links: 1,2,EXT:/grub/minix_stage1_5,50206,-,filestat,file_size: 7324; file_system_type: EXT; is_allocated: True; sha256_hash: c60a0d852635b0ccf61360c159e19ac96cfa9b4ebc6a0b8caf148d990553ce27
04/28/2010,20:54:14,UTC,..C.,FILE,File stat,Metadata Modification Time,-,-,/grub/stage2,EXT:/grub/stage2 Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o644 Number of links: 1,2,EXT:/grub/stage2,50213,-,filestat,file_size: 108356; file_system_type: EXT; is_allocated: True; sha256_hash: 51268b7716cb075d01dbbbcbc6809cbf6840df973dac9a26d5d5b98e813caca4
04/28/2010,20:54:14,UTC,..C.,FILE,File stat,Metadata Modification Time,-,-,/grub/reiserfs_stage1_5,EXT:/grub/reiserfs_stage1_5 Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o644 Number of links: 1,2,EXT:/grub/reiserfs_stage1_5,50209,-,filestat,file_size: 9632; file_system_type: EXT; is_allocated: True; sha256_hash: 5b4ecb732bcbc6f3f4a6d132987fb646334dd42a35624d8f149b15282d1f5e44
04/28/2010,20:54:14,UTC,..C.,FILE,File stat,Metadata Modification Time,-,-,/grub/xfs_stage1_5,EXT:/grub/xfs_stage1_5 Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o644 Number of links: 1,2,EXT:/grub/xfs_stage1_5,50207,-,filestat,file_size: 9276; file_system_type: EXT; is_allocated: True; sha256_hash: 7f486ff85b5b5cc2471c1bd2766969e89b34ae4e30893ccd6ae6877c77e0acdc
04/28/2010,20:54:14,UTC,..C.,FILE,File stat,Metadata Modification Time,-,-,/grub/default,EXT:/grub/default Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o644 Number of links: 1,2,EXT:/grub/default,50208,-,filestat,file_size: 197; file_system_type: EXT; is_allocated: True; sha256_hash: 2bf49b179a8505f141121c553f6d8107df67a9c658dd203141da29339d7c612a
04/28/2010,20:54:14,UTC,..C.,FILE,File stat,Metadata Modification Time,-,-,/grub/e2fs_stage1_5,EXT:/grub/e2fs_stage1_5 Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o644 Number of links: 1,2,EXT:/grub/e2fs_stage1_5,50210,-,filestat,file_size: 8056; file_system_type: EXT; is_allocated: True; sha256_hash: 0467c606f4068cdea5d27408d64d66aaea12b70ffcd2e1f9eb09e89b47fefb5e
04/28/2010,20:54:14,UTC,..C.,FILE,File stat,Metadata Modification Time,-,-,/grub/stage1,EXT:/grub/stage1 Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o644 Number of links: 1,2,EXT:/grub/stage1,50215,-,filestat,file_size: 512; file_system_type: EXT; is_allocated: True; sha256_hash: 77c1024a494c2170d0236dabdb795131d8a0f1809792735b3dd7f563ef5d951e
04/28/2010,20:54:14,UTC,..C.,FILE,File stat,Metadata Modification Time,-,-,/grub/fat_stage1_5,EXT:/grub/fat_stage1_5 Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o644 Number of links: 1,2,EXT:/grub/fat_stage1_5,50214,-,filestat,file_size: 7904; file_system_type: EXT; is_allocated: True; sha256_hash: 4a4f11fdfcadf9f50f63ff29ff1ec851dd7b0c5daf6831a48e8a58c6a8da9c9e
04/28/2010,20:54:14,UTC,..C.,FILE,File stat,Metadata Modification Time,-,-,/grub/installed-version,EXT:/grub/installed-version Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o644 Number of links: 1,2,EXT:/grub/installed-version,50216,-,filestat,file_size: 18; file_system_type: EXT; is_allocated: True; sha256_hash: c8fbbc78e401561407b08104e78fa64d45d329868514c448606471263573f3be
04/28/2010,20:54:14,UTC,..C.,FILE,File stat,Metadata Modification Time,-,-,/grub/jfs_stage1_5,EXT:/grub/jfs_stage1_5 Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o644 Number of links: 1,2,EXT:/grub/jfs_stage1_5,50212,-,filestat,file_size: 8608; file_system_type: EXT; is_allocated: True; sha256_hash: 17b66ade05f5c7463834d04d8b26c6a56e0e629d4823b4a81c48f33bbc7f2613
04/28/2010,20:54:19,UTC,..C.,FILE,File stat,Metadata Modification Time,-,-,/abi-2.6.24-16-server,EXT:/abi-2.6.24-16-server Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o644 Number of links: 1,2,EXT:/abi-2.6.24-16-server,50202,-,filestat,file_size: 426444; file_system_type: EXT; is_allocated: True; sha256_hash: a857449a80b16380a4de18d4f364076253068002bc862535f0203807edc574ef
04/28/2010,20:54:19,UTC,..C.,FILE,File stat,Metadata Modification Time,-,-,/vmlinuz-2.6.24-16-server,EXT:/vmlinuz-2.6.24-16-server Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o644 Number of links: 1,2,EXT:/vmlinuz-2.6.24-16-server,50221,-,filestat,file_size: 1987288; file_system_type: EXT; is_allocated: True; sha256_hash: c25afd27ef1464bf15a601185c747fe0a30d6f025a619f0c898cf3a7f70f6639
04/28/2010,20:54:19,UTC,..C.,FILE,File stat,Metadata Modification Time,-,-,/System.map-2.6.24-16-server,EXT:/System.map-2.6.24-16-server Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o644 Number of links: 1,2,EXT:/System.map-2.6.24-16-server,50220,-,filestat,file_size: 933296; file_system_type: EXT; is_allocated: True; sha256_hash: 0f1910ec41884bb4d6a3906867411579e25b5a06625f129d6f3ebaffe8055aa0
04/28/2010,20:54:19,UTC,..C.,FILE,File stat,Metadata Modification Time,-,-,/config-2.6.24-16-server,EXT:/config-2.6.24-16-server Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o644 Number of links: 1,2,EXT:/config-2.6.24-16-server,50203,-,filestat,file_size: 80203; file_system_type: EXT; is_allocated: True; sha256_hash: 23dc07e8849ac019cb702ad07cc6f673628b6d50911d8ccdf3782067ddf43054
04/28/2010,20:54:19,UTC,..C.,FILE,File stat,Metadata Modification Time,-,-,/lost+found,EXT:/lost+found Type: directory Owner identifier: 0 Group identifier: 0 Mode: 0o700 Number of links: 2,2,EXT:/lost+found,56225,-,filestat,file_size: 0; file_system_type: EXT; is_allocated: True
04/28/2010,20:54:19,UTC,..C.,FILE,File stat,Metadata Modification Time,-,-,/memtest86+.bin,EXT:/memtest86+.bin Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o644 Number of links: 1,2,EXT:/memtest86+.bin,50219,-,filestat,file_size: 103204; file_system_type: EXT; is_allocated: True; sha256_hash: 80ae7790b82f0d3de3790d191210f8f6b2827997c070cbbdf603d8980f7b3ee5
04/28/2010,20:54:28,UTC,.A..,FILE,File stat,Last Access Time,-,-,/grub/minix_stage1_5,EXT:/grub/minix_stage1_5 Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o644 Number of links: 1,2,EXT:/grub/minix_stage1_5,50206,-,filestat,file_size: 7324; file_system_type: EXT; is_allocated: True; sha256_hash: c60a0d852635b0ccf61360c159e19ac96cfa9b4ebc6a0b8caf148d990553ce27
04/28/2010,20:54:28,UTC,.A..,FILE,File stat,Last Access Time,-,-,/grub/stage2,EXT:/grub/stage2 Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o644 Number of links: 1,2,EXT:/grub/stage2,50213,-,filestat,file_size: 108356; file_system_type: EXT; is_allocated: True; sha256_hash: 51268b7716cb075d01dbbbcbc6809cbf6840df973dac9a26d5d5b98e813caca4
04/28/2010,20:54:28,UTC,.A..,FILE,File stat,Last Access Time,-,-,/grub/reiserfs_stage1_5,EXT:/grub/reiserfs_stage1_5 Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o644 Number of links: 1,2,EXT:/grub/reiserfs_stage1_5,50209,-,filestat,file_size: 9632; file_system_type: EXT; is_allocated: True; sha256_hash: 5b4ecb732bcbc6f3f4a6d132987fb646334dd42a35624d8f149b15282d1f5e44
