EntryNumber,SequenceNumber,InUse,ParentEntryNumber,ParentSequenceNumber,ParentPath,FileName,Extension,FileSize,ReferenceCount,ReparseTarget,IsDirectory,HasAds,IsAds,SI<FN,uSecZeros,Copied,SiFlags,NameType,Created0x10,Created0x30,LastModified0x10,LastModified0x30,LastRecordChange0x10,LastRecordChange0x30,LastAccess0x10,LastAccess0x30,UpdateSequenceNumber,LogfileSequenceNumber,SecurityId,ObjectIdFileDroid,LoggedUtilStream,ZoneIdContents,SourceFile,ResidentDataBase64,ResidentDataHex,ResidentDataASCII
0,1,True,5,5,.,$MFT,,12600320,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2004-08-19 16:57:43.6949872,,2004-08-19 16:57:43.6949872,,2004-08-19 16:57:43.6949872,,2004-08-19 16:57:43.6949872,,0,39443417,256,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
1,1,True,5,5,.,$MFTMirr,,4096,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2004-08-19 16:57:43.6949872,,2004-08-19 16:57:43.6949872,,2004-08-19 16:57:43.6949872,,2004-08-19 16:57:43.6949872,,0,26240584,256,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
2,2,True,5,5,.,$LogFile,,26460160,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2004-08-19 16:57:43.6949872,,2004-08-19 16:57:43.6949872,,2004-08-19 16:57:43.6949872,,2004-08-19 16:57:43.6949872,,0,26240657,256,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
3,3,True,5,5,.,$Volume,,0,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2004-08-19 16:57:43.6949872,,2004-08-19 16:57:43.6949872,,2004-08-19 16:57:43.6949872,,2004-08-19 16:57:43.6949872,,0,26484207,0,764dbc66-cebf-40e1-a089-668bf908bd89,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
4,4,True,5,5,.,$AttrDef,,2560,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2004-08-19 16:57:43.6949872,,2004-08-19 16:57:43.6949872,,2004-08-19 16:57:43.6949872,,2004-08-19 16:57:43.6949872,,0,26241757,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
5,5,True,5,5,.,.,,0,1,,True,False,False,False,False,False,Hidden|System|Archive,DosWindows,2004-08-19 16:57:43.6949872,,2004-08-26 15:46:18.4909584,2004-08-19 16:57:43.6949872,2004-08-27 15:08:18.9379504,2004-08-19 16:57:43.6949872,2004-08-27 15:08:05.9693024,2004-08-19 16:57:43.6949872,0,38008078,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
6,6,True,5,5,.,$Bitmap,,1188808,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2004-08-19 16:57:43.6949872,,2004-08-19 16:57:43.6949872,,2004-08-19 16:57:43.6949872,,2004-08-19 16:57:43.6949872,,0,26240730,256,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
7,7,True,5,5,.,$Boot,,8192,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2004-08-19 16:57:43.6949872,,2004-08-19 16:57:43.6949872,,2004-08-19 16:57:43.6949872,,2004-08-19 16:57:43.6949872,,0,0,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
8,8,True,5,5,.,$BadClus,,0,1,,False,True,False,False,False,False,Hidden|System,DosWindows,2004-08-19 16:57:43.6949872,,2004-08-19 16:57:43.6949872,,2004-08-19 16:57:43.6949872,,2004-08-19 16:57:43.6949872,,0,26240876,256,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
8,8,True,5,5,.,$BadClus:$Bad,,4869332992,1,,False,False,True,False,False,False,Hidden|System,DosWindows,2004-08-19 16:57:43.6949872,,2004-08-19 16:57:43.6949872,,2004-08-19 16:57:43.6949872,,2004-08-19 16:57:43.6949872,,0,26240876,256,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
